=== docker_logs lab_dobot_dvwa  (17/07/2026 19:54:38,26) ===
2026/07/17 22:54:15 [WAF_BLOCK] request_id:5443498dc719be49d915eb9844b183db | IP:172.18.0.11 | Path:/vulnerabilities | SSRF in Header Referer
2026/07/17 22:54:15 [WAF_BLOCK] request_id:fda7c2d2d5757abaefdcaa640a2735ed | IP:172.18.0.11 | Path:/vulnerabilities/brute | SSRF in Header Referer
2026/07/17 22:54:15 [WAF_BLOCK] request_id:9e565fb94f7946f1bed4dbe92878d903 | IP:172.18.0.11 | Path:/vulnerabilities/captcha | SSRF in Header Referer
2026/07/17 22:54:15 [WAF_BLOCK] request_id:b2b1b295cec8d7a667e603a0f85b9e4a | IP:172.18.0.11 | Path:/vulnerabilities/csp | SSRF in Header Referer
2026/07/17 22:54:15 [WAF_BLOCK] request_id:913820e4bc05eec77d830b80e22a1962 | IP:172.18.0.11 | Path:/vulnerabilities/exec | SSRF in Header Referer
2026/07/17 22:54:15 [WAF_BLOCK] request_id:88013e3a01df1b26806622a7830c634c | IP:172.18.0.11 | Path:/vulnerabilities/fi | SSRF in Header Referer
2026/07/17 22:54:15 [WAF_BLOCK] request_id:1c1b0d90aa5c7b33b34af00f6f2dcda4 | IP:172.18.0.11 | Path:/vulnerabilities/javascript | SSRF in Header Referer
2026/07/17 22:54:15 [WAF_BLOCK] request_id:27a0d913c5f6f3249486c7d652fc769e | IP:172.18.0.11 | Path:/vulnerabilities/sqli | SSRF in Header Referer
2026/07/17 22:54:16 [WAF_BLOCK] request_id:be968d684ce06fbc241f14236f05f93a | IP:172.18.0.11 | Path:/vulnerabilities/sqli_blind | SSRF in Header Referer
2026/07/17 22:54:16 [WAF_BLOCK] request_id:9fe6374cb3b94bea6a44454c5d65c1a4 | IP:172.18.0.11 | Path:/vulnerabilities/upload | SSRF in Header Referer
2026/07/17 22:54:16 [WAF_BLOCK] request_id:9917cf818ff93517e5f83d3ff03ab98e | IP:172.18.0.11 | Path:/vulnerabilities/weak_id | SSRF in Header Referer
2026/07/17 22:54:16 [WAF_BLOCK] request_id:1c99030b8100502f3a6389dca374e4d3 | IP:172.18.0.11 | Path:/vulnerabilities/xss_d | SSRF in Header Referer
2026/07/17 22:54:16 [WAF_BLOCK] request_id:b24d34a1a3986d1553c973ce032fc8c4 | IP:172.18.0.11 | Path:/vulnerabilities/xss_r | SSRF in Header Referer
2026/07/17 22:54:16 [WAF_BLOCK] request_id:11237be2d860b49c4131384fbbd47045 | IP:172.18.0.11 | Path:/vulnerabilities/xss_s | SSRF in Header Referer
2026/07/17 22:54:16 [WAF_BLOCK] request_id:d700b2a6be4582b8e972b79df9d91308 | IP:172.18.0.11 | Path:/dvwa | SSRF in Header Referer
2026/07/17 22:54:16 [WAF_BLOCK] request_id:07198010d1cf4b53b40424bffed3dfa8 | IP:172.18.0.11 | Path:/dvwa/css | SSRF in Header Referer
2026/07/17 22:54:16 [WAF_BLOCK] request_id:2432b81b8ec85f18130229d00ff66091 | IP:172.18.0.11 | Path:/dvwa/images | SSRF in Header Referer
2026/07/17 22:54:16 [WAF_BLOCK] request_id:d2b67e94a70d8df6c02d79193f21c932 | IP:172.18.0.11 | Path:/dvwa/js | SSRF in Header Referer
2026/07/17 22:54:16 [WAF_BLOCK] request_id:3724b6ba342bd347cadd474f78bc11e6 | IP:172.18.0.11 | Path:/vulnerabilities | SSRF in Header Referer
2026/07/17 22:54:16 [WAF_BLOCK] request_id:f301f3274f83bbe2f3ec66480a754fa0 | IP:172.18.0.11 | Path:/vulnerabilities/brute | SSRF in Header Referer
2026/07/17 22:54:16 [WAF_BLOCK] request_id:ae39c70c2629e65654734ba5f916edb1 | IP:172.18.0.11 | Path:/vulnerabilities/captcha | SSRF in Header Referer
2026/07/17 22:54:16 [WAF_BLOCK] request_id:0b577ded04bd8de7cb46c9222126dc8c | IP:172.18.0.11 | Path:/vulnerabilities/csp | SSRF in Header Referer
2026/07/17 22:54:16 [WAF_BLOCK] request_id:72b090da9ddcee55a4a64617d2268a49 | IP:172.18.0.11 | Path:/vulnerabilities/exec | SSRF in Header Referer
2026/07/17 22:54:16 [WAF_BLOCK] request_id:844d66bf606579d65538e19ad75da245 | IP:172.18.0.11 | Path:/vulnerabilities/fi | SSRF in Header Referer
2026/07/17 22:54:16 [WAF_BLOCK] request_id:9734dea742869e86c6e21887d968081d | IP:172.18.0.11 | Path:/vulnerabilities/javascript | SSRF in Header Referer
2026/07/17 22:54:16 [WAF_BLOCK] request_id:8287e27dd839b744fda53ca80b1085e4 | IP:172.18.0.11 | Path:/vulnerabilities/sqli | SSRF in Header Referer
2026/07/17 22:54:16 [WAF_BLOCK] request_id:ede473dc7cd415620b3eaa559353d5e1 | IP:172.18.0.11 | Path:/vulnerabilities/sqli_blind | SSRF in Header Referer
2026/07/17 22:54:16 [WAF_BLOCK] request_id:2438df7004fe3a9228d8fb382975ebdb | IP:172.18.0.11 | Path:/vulnerabilities/upload | SSRF in Header Referer
2026/07/17 22:54:16 [WAF_BLOCK] request_id:b0416d9ab6e35c00b4f2372a2935426a | IP:172.18.0.11 | Path:/vulnerabilities/weak_id | SSRF in Header Referer
2026/07/17 22:54:16 [WAF_BLOCK] request_id:499662f2c79c19259a3b04d5538914cf | IP:172.18.0.11 | Path:/vulnerabilities/xss_d | SSRF in Header Referer
