=== docker_logs lab_dobot_dvwa  (14/07/2026 22:51:28,88) ===
2026/07/15 01:50:27 [DoS_BLOCK] request_id:7a73648cf486ab69a9a8346047ed164a | IP:172.23.0.11 | Path:/vulnerabilities/xss_r/ | Rate limit exceeded
2026/07/15 01:50:27 [DoS_BLOCK] request_id:d09da0da608a4993ed3ce8bf169482ce | IP:172.23.0.11 | Path:/vulnerabilities/xss_r/ | Rate limit exceeded
2026/07/15 01:50:27 [DoS_BLOCK] request_id:3b56547a307ddad895e8a485db29381d | IP:172.23.0.11 | Path:/vulnerabilities/xss_r/ | Rate limit exceeded
2026/07/15 01:50:27 [DoS_BLOCK] request_id:7b993bd2cb34978308ddbebd482d45dd | IP:172.23.0.11 | Path:/vulnerabilities/xss_r/ | Rate limit exceeded
2026/07/15 01:50:27 [DoS_BLOCK] request_id:b89054ac82c5107dbbcf56d04e3c2f24 | IP:172.23.0.11 | Path:/vulnerabilities/xss_r/ | Rate limit exceeded
2026/07/15 01:50:27 [DoS_BLOCK] request_id:396f033325ce144ee4abdcc6a0ace40e | IP:172.23.0.11 | Path:/vulnerabilities/xss_r/ | Rate limit exceeded
2026/07/15 01:50:28 [WAF_BLOCK] request_id:16e46a30fca70c1f515e92670ad7291a | IP:172.23.0.11 | Path:/vulnerabilities/xss_r/ | XSS in Query
2026/07/15 01:50:28 [DoS_BLOCK] request_id:b34470f222cf82c8c65a0c82c77f171b | IP:172.23.0.11 | Path:/vulnerabilities/xss_r/ | Rate limit exceeded
2026/07/15 01:50:28 [DoS_BLOCK] request_id:60a1e1f6bf904b7e0f43ef94b5ed09bf | IP:172.23.0.11 | Path:/vulnerabilities/xss_r/ | Rate limit exceeded
2026/07/15 01:50:28 [DoS_BLOCK] request_id:9dd568973cf88906b3bbfc0915924201 | IP:172.23.0.11 | Path:/vulnerabilities/xss_r/ | Rate limit exceeded
2026/07/15 01:50:28 [DoS_BLOCK] request_id:26a203b50b1b4cf605544d45a76d0924 | IP:172.23.0.11 | Path:/vulnerabilities/xss_r/ | Rate limit exceeded
2026/07/15 01:50:28 [DoS_BLOCK] request_id:71f91546bb0921cec0064c5e0fec8c8c | IP:172.23.0.11 | Path:/vulnerabilities/xss_r/ | Rate limit exceeded
2026/07/15 01:50:28 [DoS_BLOCK] request_id:3e0eed2c5d7fb8e3756fa97ea98f5d57 | IP:172.23.0.11 | Path:/vulnerabilities/xss_r/ | Rate limit exceeded
2026/07/15 01:50:28 [DoS_BLOCK] request_id:6fbb358c325b1e956ebb897adf43d647 | IP:172.23.0.11 | Path:/vulnerabilities/xss_r/ | Rate limit exceeded
2026/07/15 01:50:28 [DoS_BLOCK] request_id:7944372666e6f470a7370d3aac5f206e | IP:172.23.0.11 | Path:/vulnerabilities/xss_r/ | Rate limit exceeded
2026/07/15 01:50:28 [WAF_BLOCK] request_id:fdb4614e8f96994bce87630399922029 | IP:172.23.0.11 | Path:/vulnerabilities/xss_r/ | XSS in Query
2026/07/15 01:50:28 [DoS_BLOCK] request_id:534d31bcb39ecd256ee99fa0765309af | IP:172.23.0.11 | Path:/vulnerabilities/xss_r/ | Rate limit exceeded
2026/07/15 01:50:28 [DoS_BLOCK] request_id:f11ce2838ca9dfc4bbbb6872ce4a5269 | IP:172.23.0.11 | Path:/vulnerabilities/xss_r/ | Rate limit exceeded
2026/07/15 01:50:28 [DoS_BLOCK] request_id:cc954436e2a26948bc29e740d83a2855 | IP:172.23.0.11 | Path:/vulnerabilities/xss_r/ | Rate limit exceeded
2026/07/15 01:50:28 [DoS_BLOCK] request_id:fe6aa7b0cda6f3e72fd4b2e260bdf236 | IP:172.23.0.11 | Path:/vulnerabilities/xss_r/ | Rate limit exceeded
2026/07/15 01:50:28 [DoS_BLOCK] request_id:dc1f28fedd5f3900a1d830ab69d373fd | IP:172.23.0.11 | Path:/vulnerabilities/xss_r/ | Rate limit exceeded
2026/07/15 01:50:28 [DoS_BLOCK] request_id:997772046269c208ec68e3aa4fd6f80a | IP:172.23.0.11 | Path:/vulnerabilities/xss_r/ | Rate limit exceeded
2026/07/15 01:50:28 [DoS_BLOCK] request_id:f6fd260a62741cecf56cfce11f2075c7 | IP:172.23.0.11 | Path:/vulnerabilities/xss_r/ | Rate limit exceeded
2026/07/15 01:50:28 [DoS_BLOCK] request_id:534f8c363e5cc594ef198203141a34c3 | IP:172.23.0.11 | Path:/vulnerabilities/xss_r/ | Rate limit exceeded
2026/07/15 01:50:28 [WAF_BLOCK] request_id:e542f938bad4ccbc43dbff50159eb2b5 | IP:172.23.0.11 | Path:/vulnerabilities/xss_r/ | XSS in Query
2026/07/15 01:50:28 [DoS_BLOCK] request_id:e7d497e36f7e65337842c5a201edf27e | IP:172.23.0.11 | Path:/vulnerabilities/xss_r/ | Rate limit exceeded
2026/07/15 01:50:28 [DoS_BLOCK] request_id:8f649e9bf1ba96e666b8875ec7a30100 | IP:172.23.0.11 | Path:/vulnerabilities/xss_r/ | Rate limit exceeded
2026/07/15 01:50:28 [DoS_BLOCK] request_id:0236a6ef504265a246c65ee591da5c05 | IP:172.23.0.11 | Path:/vulnerabilities/xss_r/ | Rate limit exceeded
2026/07/15 01:50:28 [DoS_BLOCK] request_id:d27270d04ca3a0dc2abd6a4fd83e074c | IP:172.23.0.11 | Path:/vulnerabilities/xss_r/ | Rate limit exceeded
2026/07/15 01:50:28 [DoS_BLOCK] request_id:943c89f0a09207b234e0efdfa8c85b64 | IP:172.23.0.11 | Path:/vulnerabilities/xss_r/ | Rate limit exceeded
2026/07/15 01:50:28 [DoS_BLOCK] request_id:4d6e432b7344ebafa1190f702ab8aaf3 | IP:172.23.0.11 | Path:/vulnerabilities/xss_r/ | Rate limit exceeded
2026/07/15 01:50:28 [DoS_BLOCK] request_id:a47a4896480103ad2e0972b1173b8a95 | IP:172.23.0.11 | Path:/vulnerabilities/xss_r/ | Rate limit exceeded
2026/07/15 01:50:28 [WAF_BLOCK] request_id:b1aeb04074a31af760b4ac864728c409 | IP:172.23.0.11 | Path:/vulnerabilities/xss_r/ | XSS in Query
2026/07/15 01:50:28 [DoS_BLOCK] request_id:fc5e43d6fdbcf489398483a9751e5879 | IP:172.23.0.11 | Path:/vulnerabilities/xss_r/ | Rate limit exceeded
