=== docker_logs lab_dobot_dvwa  (17/07/2026 20:38:32,64) ===
2026/07/17 23:27:53 [WAF_BLOCK] request_id:2d8f34273578a6ec853c58249faa141e | IP:172.18.0.11 | Path:/vulnerabilities/xss_r/ | XSS in Query
2026/07/17 23:27:53 [WAF_BLOCK] request_id:0606c8fe1066a88b6e416f7632e737f4 | IP:172.18.0.11 | Path:/vulnerabilities/xss_r/ | XSS in Query
2026/07/17 23:27:53 [WAF_BLOCK] request_id:28d6fba1701e6850f086c7b72f34166f | IP:172.18.0.11 | Path:/vulnerabilities/xss_r/ | XSS in Query
2026/07/17 23:27:53 [WAF_BLOCK] request_id:b4956f8a1d12c1659d2ac63fe821b6be | IP:172.18.0.11 | Path:/vulnerabilities/xss_r/ | XSS in Query
2026/07/17 23:27:53 [WAF_BLOCK] request_id:9930286b7ccbb0880d37a2094f167197 | IP:172.18.0.11 | Path:/vulnerabilities/xss_r/ | XSS in Query
2026/07/17 23:27:53 [WAF_BLOCK] request_id:7f2b365a884d5e5ada859d2e09c74f3d | IP:172.18.0.11 | Path:/vulnerabilities/xss_r/ | XSS in Query
2026/07/17 23:27:53 [WAF_BLOCK] request_id:9e5cd6f57ef9e8369786caae99c4cb22 | IP:172.18.0.11 | Path:/vulnerabilities/xss_r/ | XSS in Query
2026/07/17 23:27:53 [WAF_BLOCK] request_id:25c7b9caae4d54a9fc31a5afbfe0035b | IP:172.18.0.11 | Path:/vulnerabilities/xss_r/ | XSS in Query
2026/07/17 23:27:53 [WAF_BLOCK] request_id:73be3e8925395ed07cd6c325d4d4cb13 | IP:172.18.0.11 | Path:/vulnerabilities/xss_r/ | XSS in Query
2026/07/17 23:27:53 [WAF_BLOCK] request_id:b99d64ec19f5e6e3f914f19218236dce | IP:172.18.0.11 | Path:/vulnerabilities/xss_r/ | XSS in Query
2026/07/17 23:27:53 [WAF_BLOCK] request_id:b77c21301a5fddbcf9d1c0712f62e34a | IP:172.18.0.11 | Path:/vulnerabilities/xss_r/ | XSS in Query
2026/07/17 23:27:53 [WAF_BLOCK] request_id:9f0c983b40d7886d441700ea448dcf13 | IP:172.18.0.11 | Path:/vulnerabilities/xss_r/ | XSS in Query
2026/07/17 23:27:53 [WAF_BLOCK] request_id:cf5ffde4d4259ac1e40d8ac1adc3063c | IP:172.18.0.11 | Path:/vulnerabilities/xss_r/ | XSS in Query
2026/07/17 23:27:53 [WAF_BLOCK] request_id:6d529774d8ae6a2f5f0bc7abd5ec2d98 | IP:172.18.0.11 | Path:/vulnerabilities/xss_r/ | XSS in Query
2026/07/17 23:27:53 [WAF_BLOCK] request_id:61fb6bea6a6dcf8ec2b8e12b10e58517 | IP:172.18.0.11 | Path:/vulnerabilities/xss_r/ | XSS in Query
2026/07/17 23:27:53 [WAF_BLOCK] request_id:74fc5b22fe8482e1f9bf3e3ce3299116 | IP:172.18.0.11 | Path:/vulnerabilities/xss_r/ | XSS in Query
2026/07/17 23:27:53 [WAF_BLOCK] request_id:78dc566b459ac2f5635ca324700aca35 | IP:172.18.0.11 | Path:/vulnerabilities/xss_r/ | XSS in Query
2026/07/17 23:27:53 [WAF_BLOCK] request_id:6ac5e0b9dce485eb96023160cf89647e | IP:172.18.0.11 | Path:/vulnerabilities/xss_r/ | XSS in Query
