=== docker_logs lab_dobot_xvwa  (14/07/2026 22:17:33,19) ===
2026/07/15 01:17:09 [ACCESS] request_id:e7c817240518eca989c279109fc85b7f | GET / from 172.23.0.5
2026/07/15 01:17:09 [DoS_BLOCK] request_id:b98ce607503a05bd4f19de325d68ba7b | IP:172.23.0.5 | Path:/xvwa | Rate limit exceeded
2026/07/15 01:17:09 [DoS_BLOCK] request_id:0631d9d04961bacda854c906afc2711e | IP:172.23.0.5 | Path:/xvwa/vulnerabilities | Rate limit exceeded
2026/07/15 01:17:09 [DoS_BLOCK] request_id:c951843b4435ae992e6d432749416d9d | IP:172.23.0.5 | Path:/xvwa/vulnerabilities/cmdi | Rate limit exceeded
2026/07/15 01:17:09 [DoS_BLOCK] request_id:acff8b9b083b5707ad545ba310f86b2a | IP:172.23.0.5 | Path:/xvwa/vulnerabilities/crypto | Rate limit exceeded
2026/07/15 01:17:09 [DoS_BLOCK] request_id:bde5792ebca4caca6c57959a40971986 | IP:172.23.0.5 | Path:/xvwa/vulnerabilities/dom_xss | Rate limit exceeded
2026/07/15 01:17:09 [DoS_BLOCK] request_id:5434d5f68759bc86023a89c3c4a6094e | IP:172.23.0.5 | Path:/xvwa/vulnerabilities/fi | Rate limit exceeded
2026/07/15 01:17:09 [DoS_BLOCK] request_id:914d89b6dd5300369def8db89cd5f378 | IP:172.23.0.5 | Path:/xvwa/vulnerabilities/fileupload | Rate limit exceeded
2026/07/15 01:17:09 [DoS_BLOCK] request_id:e33faab2e5e8c52a94277a04bfa9a1a2 | IP:172.23.0.5 | Path:/xvwa/vulnerabilities/formula_injection | Rate limit exceeded
2026/07/15 01:17:09 [DoS_BLOCK] request_id:4a1b96e9cad6bd7d2c014b060bcf3bac | IP:172.23.0.5 | Path:/xvwa/vulnerabilities/idor | Rate limit exceeded
2026/07/15 01:17:09 [DoS_BLOCK] request_id:bedd7220527a0c1ee77ba24d343ca747 | IP:172.23.0.5 | Path:/xvwa/vulnerabilities/missfunc | Rate limit exceeded
2026/07/15 01:17:09 [DoS_BLOCK] request_id:449b250bb1ff3479f978e9726a8692a7 | IP:172.23.0.5 | Path:/xvwa/vulnerabilities/php_object_injection | Rate limit exceeded
2026/07/15 01:17:09 [DoS_BLOCK] request_id:b6aa8d7060db0e05517e1d467e0c0506 | IP:172.23.0.5 | Path:/xvwa/vulnerabilities/redirect | Rate limit exceeded
2026/07/15 01:17:09 [DoS_BLOCK] request_id:57400337fc342c9ddccb5390e93472db | IP:172.23.0.5 | Path:/xvwa/vulnerabilities/reflected_xss | Rate limit exceeded
2026/07/15 01:17:09 [ACCESS] request_id:61961d8e2e56f00a7fb89c7efbd8ab22 | GET /xvwa/vulnerabilities/sessionflaws from 172.23.0.5
2026/07/15 01:17:09 [RESPONSE_WAF_BLOCK] request_id:61961d8e2e56f00a7fb89c7efbd8ab22 | IP:172.23.0.5 | Path:/xvwa/vulnerabilities/sessionflaws | OPEN_REDIRECT in Response Header Location
2026/07/15 01:17:09 [DoS_BLOCK] request_id:89561368b97d2ebeebb7a25a333bb1da | IP:172.23.0.5 | Path:/xvwa/vulnerabilities/sqli | Rate limit exceeded
2026/07/15 01:17:09 [DoS_BLOCK] request_id:2e8dfd18c60f299985add9f3fe07e6bf | IP:172.23.0.5 | Path:/xvwa/vulnerabilities/sqli_blind | Rate limit exceeded
2026/07/15 01:17:09 [DoS_BLOCK] request_id:0b0c441b08f13cbcf742facdacf6d0ec | IP:172.23.0.5 | Path:/xvwa/vulnerabilities/ssrf_xspa | Rate limit exceeded
2026/07/15 01:17:09 [DoS_BLOCK] request_id:f3b75875976000c576c98ea4d3e1df24 | IP:172.23.0.5 | Path:/xvwa/vulnerabilities/ssti | Rate limit exceeded
2026/07/15 01:17:09 [DoS_BLOCK] request_id:b81ae502b361d3e6d1353fa8bc5d4f2c | IP:172.23.0.5 | Path:/xvwa/vulnerabilities/stored_xss | Rate limit exceeded
2026/07/15 01:17:09 [DoS_BLOCK] request_id:8aa1f71fa4ac6cc958b4f7621b30a169 | IP:172.23.0.5 | Path:/xvwa/vulnerabilities/xpath | Rate limit exceeded
2026/07/15 01:17:09 [DoS_BLOCK] request_id:7532806b314858747c3fb7a7b900f331 | IP:172.23.0.5 | Path:/ | Rate limit exceeded
2026/07/15 01:17:09 [ACCESS] request_id:6beb92ad32736d14c29aad1119a77822 | GET /xvwa from 172.23.0.5
2026/07/15 01:17:09 [RESPONSE_WAF_BLOCK] request_id:6beb92ad32736d14c29aad1119a77822 | IP:172.23.0.5 | Path:/xvwa | OPEN_REDIRECT in Response Header Location
2026/07/15 01:17:09 [DoS_BLOCK] request_id:a46871c2a377a864e02d66ccaa74c0fc | IP:172.23.0.5 | Path:/xvwa/vulnerabilities | Rate limit exceeded
2026/07/15 01:17:09 [DoS_BLOCK] request_id:d00fbd909aedbac4b351d035925cb7ce | IP:172.23.0.5 | Path:/xvwa/vulnerabilities/cmdi | Rate limit exceeded
2026/07/15 01:17:09 [DoS_BLOCK] request_id:480fe9cbea5e12a41a89843f9c4da17e | IP:172.23.0.5 | Path:/xvwa/vulnerabilities/crypto | Rate limit exceeded
2026/07/15 01:17:09 [DoS_BLOCK] request_id:2fa88f6bcc5a1057540de7233375bb09 | IP:172.23.0.5 | Path:/xvwa/vulnerabilities/dom_xss | Rate limit exceeded
2026/07/15 01:17:09 [DoS_BLOCK] request_id:28ed303998e8391dbb2f33cdd1f6693d | IP:172.23.0.5 | Path:/xvwa/vulnerabilities/fi | Rate limit exceeded
