=== docker_logs lab_dobot_xvwa  (17/07/2026 20:34:24,95) ===
2026/07/17 23:33:09 [WAF_BLOCK] request_id:c48ec5cfa98adad2695b0b1aa82147be | IP:172.18.0.11 | Path:/xvwa/vulnerabilities/reflected_xss/ | XSS in Query
2026/07/17 23:33:09 [WAF_BLOCK] request_id:b642059e3fdb9501830065776ebf5187 | IP:172.18.0.11 | Path:/xvwa/vulnerabilities/reflected_xss/ | XSS in Query
2026/07/17 23:33:09 [WAF_BLOCK] request_id:109307998a0a561bc542ac188cf7aee4 | IP:172.18.0.11 | Path:/xvwa/vulnerabilities/reflected_xss/ | XSS in Query
2026/07/17 23:33:09 [WAF_BLOCK] request_id:481fa15ff12d0697f77b7c639e4b9e4f | IP:172.18.0.11 | Path:/xvwa/vulnerabilities/reflected_xss/ | XSS in Query
2026/07/17 23:33:09 [WAF_BLOCK] request_id:0e1b13a0584b4386b483d91c9ab3e1c2 | IP:172.18.0.11 | Path:/xvwa/vulnerabilities/reflected_xss/ | XSS in Query
2026/07/17 23:33:09 [WAF_BLOCK] request_id:cbb60fa0b1babdd9f02f8b3549527ad0 | IP:172.18.0.11 | Path:/xvwa/vulnerabilities/reflected_xss/ | XSS in Query
2026/07/17 23:33:09 [WAF_BLOCK] request_id:c6822fa293e002c5a962fd79e73ee7ad | IP:172.18.0.11 | Path:/xvwa/vulnerabilities/reflected_xss/ | XSS in Query
2026/07/17 23:33:09 [WAF_BLOCK] request_id:af03766c17fb53b795a73855196396e0 | IP:172.18.0.11 | Path:/xvwa/vulnerabilities/reflected_xss/ | XSS in Query
2026/07/17 23:33:09 [WAF_BLOCK] request_id:88d4d820d326a3a91684bf90380f509c | IP:172.18.0.11 | Path:/xvwa/vulnerabilities/reflected_xss/ | XSS in Query
2026/07/17 23:33:09 [WAF_BLOCK] request_id:316331586cb082033f771210c323f870 | IP:172.18.0.11 | Path:/xvwa/vulnerabilities/reflected_xss/ | XSS in Query
2026/07/17 23:33:09 [WAF_BLOCK] request_id:7d3985030ef0809ef247f3b75e19e4a8 | IP:172.18.0.11 | Path:/xvwa/vulnerabilities/reflected_xss/ | XSS in Query
2026/07/17 23:33:09 [WAF_BLOCK] request_id:6ec3986bc22919737bec6dc1e9293094 | IP:172.18.0.11 | Path:/xvwa/vulnerabilities/reflected_xss/ | XSS in Query
2026/07/17 23:33:09 [WAF_BLOCK] request_id:32ea25ee6e5298f3e5eeebf3256f7fe1 | IP:172.18.0.11 | Path:/xvwa/vulnerabilities/reflected_xss/ | XSS in Query
2026/07/17 23:33:09 [WAF_BLOCK] request_id:7043f339b81d49d5e1d0842af631bf9d | IP:172.18.0.11 | Path:/xvwa/vulnerabilities/reflected_xss/ | XSS in Query
2026/07/17 23:33:09 [WAF_BLOCK] request_id:251c24354d673cfff8ca76222752032e | IP:172.18.0.11 | Path:/xvwa/vulnerabilities/reflected_xss/ | XSS in Query
2026/07/17 23:33:09 [WAF_BLOCK] request_id:ffce9fb629c7ad10031ce71a73fc2412 | IP:172.18.0.11 | Path:/xvwa/vulnerabilities/reflected_xss/ | XSS in Query
2026/07/17 23:33:09 [WAF_BLOCK] request_id:ca80130b8d4baa114ebbb8b79c929f6e | IP:172.18.0.11 | Path:/xvwa/vulnerabilities/reflected_xss/ | XSS in Query
2026/07/17 23:33:09 [WAF_BLOCK] request_id:c89566be053e9302a093f1ec200d27fb | IP:172.18.0.11 | Path:/xvwa/vulnerabilities/reflected_xss/ | XSS in Query
2026/07/17 23:33:10 [WAF_BLOCK] request_id:ff105cede1363d26ad9c037e53d80842 | IP:172.18.0.11 | Path:/xvwa/vulnerabilities/reflected_xss/ | XSS in Query
2026/07/17 23:33:10 [WAF_BLOCK] request_id:47935496f1a446b8af7102f52f772bfb | IP:172.18.0.11 | Path:/xvwa/vulnerabilities/reflected_xss/ | XSS in Query
2026/07/17 23:33:10 [WAF_BLOCK] request_id:7fed22d690ad3572516459189df5ff3c | IP:172.18.0.11 | Path:/xvwa/vulnerabilities/reflected_xss/ | XSS in Query
2026/07/17 23:33:10 [WAF_BLOCK] request_id:14727ddd30e76489a83e76bff0b07fe9 | IP:172.18.0.11 | Path:/xvwa/vulnerabilities/reflected_xss/ | XSS in Query
2026/07/17 23:33:10 [WAF_BLOCK] request_id:eb9cee7728fa2f4e90e2b03559669980 | IP:172.18.0.11 | Path:/xvwa/vulnerabilities/reflected_xss/ | XSS in Query
2026/07/17 23:33:10 [WAF_BLOCK] request_id:824fd93881007f2076ec37da412239fe | IP:172.18.0.11 | Path:/xvwa/vulnerabilities/reflected_xss/ | XSS in Query
2026/07/17 23:33:10 [WAF_BLOCK] request_id:4379f4602bbf087f817f5f2cb19e7c92 | IP:172.18.0.11 | Path:/xvwa/vulnerabilities/reflected_xss/ | XSS in Query
2026/07/17 23:33:10 [WAF_BLOCK] request_id:4f82340cf817d4e1defdf18a8829a3ce | IP:172.18.0.11 | Path:/xvwa/vulnerabilities/reflected_xss/ | XSS in Query
2026/07/17 23:33:10 [WAF_BLOCK] request_id:1c55404782d6660b97f8bd4c31bb6c62 | IP:172.18.0.11 | Path:/xvwa/vulnerabilities/reflected_xss/ | XSS in Query
2026/07/17 23:33:10 [WAF_BLOCK] request_id:90a205237c5c4cbad24cc2581bc4cd86 | IP:172.18.0.11 | Path:/xvwa/vulnerabilities/reflected_xss/ | XSS in Query
2026/07/17 23:33:10 [WAF_BLOCK] request_id:a77711c70de35f68bcbd94825630bc16 | IP:172.18.0.11 | Path:/xvwa/vulnerabilities/reflected_xss/ | XSS in Query
2026/07/17 23:33:10 [WAF_BLOCK] request_id:9334e835f163afc78adc1fd9c4d8095e | IP:172.18.0.11 | Path:/xvwa/vulnerabilities/reflected_xss/ | XSS in Query
2026/07/17 23:33:10 [WAF_BLOCK] request_id:321722d1b0563ff41bb61728d2fd23d9 | IP:172.18.0.11 | Path:/xvwa/vulnerabilities/reflected_xss/ | XSS in Query
2026/07/17 23:33:10 [WAF_BLOCK] request_id:b88883670727cd1bbe7b13b4f062fd99 | IP:172.18.0.11 | Path:/xvwa/vulnerabilities/reflected_xss/ | XSS in Query
2026/07/17 23:33:10 [WAF_BLOCK] request_id:4d26a8d441b6b859aa5eb448ec4b781d | IP:172.18.0.11 | Path:/xvwa/vulnerabilities/reflected_xss/ | XSS in Query
2026/07/17 23:33:10 [WAF_BLOCK] request_id:8600ad1b499762bde119e4f954d77355 | IP:172.18.0.11 | Path:/xvwa/vulnerabilities/reflected_xss/ | XSS in Query
2026/07/17 23:33:10 [WAF_BLOCK] request_id:8f2f2ce72f5cdd8c1824cf8be57e6fa2 | IP:172.18.0.11 | Path:/xvwa/vulnerabilities/reflected_xss/ | XSS in Query
2026/07/17 23:33:10 [WAF_BLOCK] request_id:33bf416d5f382178a1459ee6591e71dc | IP:172.18.0.11 | Path:/xvwa/vulnerabilities/reflected_xss/ | XSS in Query
2026/07/17 23:33:10 [WAF_BLOCK] request_id:f28baf29136cc4ac6a2c736f1eb74251 | IP:172.18.0.11 | Path:/xvwa/vulnerabilities/reflected_xss/ | XSS in Query
2026/07/17 23:33:10 [WAF_BLOCK] request_id:d67c0c15aaa98cd73f6c36faa9abbf62 | IP:172.18.0.11 | Path:/xvwa/vulnerabilities/reflected_xss/ | XSS in Query
2026/07/17 23:33:10 [WAF_BLOCK] request_id:9f7c0a4c60fd809e548c080a4be46a58 | IP:172.18.0.11 | Path:/xvwa/vulnerabilities/reflected_xss/ | XSS in Query
2026/07/17 23:33:10 [WAF_BLOCK] request_id:c8608d5dd7676a7e420db33d911e3ef7 | IP:172.18.0.11 | Path:/xvwa/vulnerabilities/reflected_xss/ | XSS in Query
2026/07/17 23:33:10 [WAF_BLOCK] request_id:a401b8b5439d95b6a24e50655fc9d6db | IP:172.18.0.11 | Path:/xvwa/vulnerabilities/reflected_xss/ | XSS in Query
2026/07/17 23:33:10 [WAF_BLOCK] request_id:b624de493808514116564b6ead566238 | IP:172.18.0.11 | Path:/xvwa/vulnerabilities/reflected_xss/ | XSS in Query
2026/07/17 23:33:10 [WAF_BLOCK] request_id:634c25e05a92daed713ce4c4d9368f96 | IP:172.18.0.11 | Path:/xvwa/vulnerabilities/reflected_xss/ | XSS in Query
2026/07/17 23:33:10 [WAF_BLOCK] request_id:a9e1ebc4e355aa51a4c0e6400107a687 | IP:172.18.0.11 | Path:/xvwa/vulnerabilities/reflected_xss/ | XSS in Query
2026/07/17 23:33:10 [WAF_BLOCK] request_id:f4cb5da2c17bd9fc1b8ff2eee4f4cac6 | IP:172.18.0.11 | Path:/xvwa/vulnerabilities/reflected_xss/ | XSS in Query
2026/07/17 23:33:10 [WAF_BLOCK] request_id:28219c2ccfb641e6625d142fac0083de | IP:172.18.0.11 | Path:/xvwa/vulnerabilities/reflected_xss/ | XSS in Query
2026/07/17 23:33:10 [WAF_BLOCK] request_id:d1d32c9b78a29aaa0adcd8785bf8e5c2 | IP:172.18.0.11 | Path:/xvwa/vulnerabilities/reflected_xss/ | XSS in Query
2026/07/17 23:33:10 [WAF_BLOCK] request_id:fc9054eea9541d91846360263397e1aa | IP:172.18.0.11 | Path:/xvwa/vulnerabilities/reflected_xss/ | XSS in Query
