=== docker_logs lab_dobot_xvwa  (15/07/2026  8:25:03,42) ===
2026/07/15 01:55:07 [DoS_BLOCK] request_id:507bca670f77cfc4db35d9ecc6dd2f6c | IP:172.23.0.11 | Path:/xvwa/vulnerabilities/reflected_xss/ | Rate limit exceeded
2026/07/15 01:55:07 [DoS_BLOCK] request_id:4ee75ebf2d873e8859d0a4487c23ef7b | IP:172.23.0.11 | Path:/xvwa/vulnerabilities/reflected_xss/ | Rate limit exceeded
2026/07/15 01:55:07 [DoS_BLOCK] request_id:4a21e2199cf0ce9f291b9d0998293d99 | IP:172.23.0.11 | Path:/xvwa/vulnerabilities/reflected_xss/ | Rate limit exceeded
2026/07/15 01:55:07 [DoS_BLOCK] request_id:9f0ba7aa1058427d9053a3f6ac3554cd | IP:172.23.0.11 | Path:/xvwa/vulnerabilities/reflected_xss/ | Rate limit exceeded
2026/07/15 01:55:07 [DoS_BLOCK] request_id:f801efd3d0446b2cfdbf86a055920b9d | IP:172.23.0.11 | Path:/xvwa/vulnerabilities/reflected_xss/ | Rate limit exceeded
2026/07/15 01:55:07 [DoS_BLOCK] request_id:65382e29bae7428e25946066f6360ec0 | IP:172.23.0.11 | Path:/xvwa/vulnerabilities/reflected_xss/ | Rate limit exceeded
2026/07/15 01:55:07 [DoS_BLOCK] request_id:2a7aad84c98d8ef630350130815949c9 | IP:172.23.0.11 | Path:/xvwa/vulnerabilities/reflected_xss/ | Rate limit exceeded
2026/07/15 01:55:07 [DoS_BLOCK] request_id:9f41679e3f6996e21b41b211611142ed | IP:172.23.0.11 | Path:/xvwa/vulnerabilities/reflected_xss/ | Rate limit exceeded
2026/07/15 01:55:07 [WAF_BLOCK] request_id:b5917a7554ecafc8ef943f7395bf6f67 | IP:172.23.0.11 | Path:/xvwa/vulnerabilities/reflected_xss/ | XSS in Query
2026/07/15 01:55:07 [DoS_BLOCK] request_id:3561eb4862c13ce201ab658322b004cf | IP:172.23.0.11 | Path:/xvwa/vulnerabilities/reflected_xss/ | Rate limit exceeded
2026/07/15 01:55:07 [DoS_BLOCK] request_id:fe093d03be6105c413896546e1a47c94 | IP:172.23.0.11 | Path:/xvwa/vulnerabilities/reflected_xss/ | Rate limit exceeded
2026/07/15 01:55:07 [DoS_BLOCK] request_id:534a5013502f0a173bc375dd0670fe63 | IP:172.23.0.11 | Path:/xvwa/vulnerabilities/reflected_xss/ | Rate limit exceeded
2026/07/15 01:55:07 [DoS_BLOCK] request_id:075e66545db7a79865808306a36ef97d | IP:172.23.0.11 | Path:/xvwa/vulnerabilities/reflected_xss/ | Rate limit exceeded
2026/07/15 01:55:07 [DoS_BLOCK] request_id:f964cf0db113ed8e4cf6eb07d8edddf8 | IP:172.23.0.11 | Path:/xvwa/vulnerabilities/reflected_xss/ | Rate limit exceeded
2026/07/15 01:55:07 [DoS_BLOCK] request_id:c5679c09f595c6b4bc1b351910e7e66c | IP:172.23.0.11 | Path:/xvwa/vulnerabilities/reflected_xss/ | Rate limit exceeded
