=== docker_logs lab_dobot_xvwa  (15/07/2026  8:40:03,84) ===
2026/07/15 11:39:55 [DoS_BLOCK] request_id:a5824d4d72edc5de7d77aba40c734be7 | IP:172.23.0.11 | Path:/xvwa/ | Rate limit exceeded
2026/07/15 11:39:55 [DoS_BLOCK] request_id:85c747a56ac09a1818fa8ab1a4ebc941 | IP:172.23.0.11 | Path:/xvwa/ | Rate limit exceeded
2026/07/15 11:39:55 [DoS_BLOCK] request_id:c33e93ddeab41bdd6cc17e91ae568363 | IP:172.23.0.11 | Path:/xvwa/ | Rate limit exceeded
2026/07/15 11:39:55 [DoS_BLOCK] request_id:d0e512c7725b1b1905aa0de093139044 | IP:172.23.0.11 | Path:/xvwa/ | Rate limit exceeded
2026/07/15 11:39:55 [DoS_BLOCK] request_id:9e1f8a79b28caf9a2930c10f5998e13d | IP:172.23.0.11 | Path:/xvwa/ | Rate limit exceeded
2026/07/15 11:39:55 [DoS_BLOCK] request_id:b24a43347536219ed7375eed7e5ae6f7 | IP:172.23.0.11 | Path:/xvwa/ | Rate limit exceeded
2026/07/15 11:39:55 [DoS_BLOCK] request_id:f761adb258f5855bc9e5e7565a2ce921 | IP:172.23.0.11 | Path:/xvwa/ | Rate limit exceeded
2026/07/15 11:39:55 [DoS_BLOCK] request_id:95e908d41b76a2e4d3d0b49c6304615b | IP:172.23.0.11 | Path:/xvwa/ | Rate limit exceeded
2026/07/15 11:39:55 [DoS_BLOCK] request_id:7180b3e195fe48a03eeacb5139ec3eff | IP:172.23.0.11 | Path:/xvwa/ | Rate limit exceeded
2026/07/15 11:39:55 [DoS_BLOCK] request_id:653b7332bb83fda106d27ee3797a1d0c | IP:172.23.0.11 | Path:/xvwa/ | Rate limit exceeded
2026/07/15 11:39:55 [DoS_BLOCK] request_id:1d608f4a55d8bc1f2e48b0869c881a5e | IP:172.23.0.11 | Path:/xvwa/ | Rate limit exceeded
2026/07/15 11:39:55 [DoS_BLOCK] request_id:49b33b767087fe592b07cf4b74152822 | IP:172.23.0.11 | Path:/xvwa/ | Rate limit exceeded
2026/07/15 11:39:55 [DoS_BLOCK] request_id:6e47d8a3df032d4a0394fcc013996460 | IP:172.23.0.11 | Path:/xvwa/ | Rate limit exceeded
2026/07/15 11:39:55 [DoS_BLOCK] request_id:9a4ff2f425bd5db3130b289748cd9c0b | IP:172.23.0.11 | Path:/xvwa/ | Rate limit exceeded
2026/07/15 11:39:55 [DoS_BLOCK] request_id:c6053a822ee8e065c4b0932a222bd108 | IP:172.23.0.11 | Path:/xvwa/ | Rate limit exceeded
2026/07/15 11:39:55 [DoS_BLOCK] request_id:8f98291cb488928d5ae6cfd73ef929d4 | IP:172.23.0.11 | Path:/xvwa/ | Rate limit exceeded
2026/07/15 11:39:55 [DoS_BLOCK] request_id:e0d9d9970fa17d1a751d4ddb72ef4d18 | IP:172.23.0.11 | Path:/xvwa/ | Rate limit exceeded
2026/07/15 11:39:55 [DoS_BLOCK] request_id:194059b38cbe033e30e27b9fecb1ca23 | IP:172.23.0.11 | Path:/xvwa/ | Rate limit exceeded
2026/07/15 11:39:55 [DoS_BLOCK] request_id:f5c970d41949cab05d8eb1f3ddb303de | IP:172.23.0.11 | Path:/xvwa/ | Rate limit exceeded
2026/07/15 11:39:55 [DoS_BLOCK] request_id:66c9953da8c584cd72fcc2564534d174 | IP:172.23.0.11 | Path:/xvwa/ | Rate limit exceeded
2026/07/15 11:39:55 [DoS_BLOCK] request_id:3ec4b0a4cbfdf3a5b368d11d68870efb | IP:172.23.0.11 | Path:/xvwa/ | Rate limit exceeded
2026/07/15 11:39:55 [DoS_BLOCK] request_id:e727593b123499d9924673d880e225e7 | IP:172.23.0.11 | Path:/xvwa/ | Rate limit exceeded
2026/07/15 11:39:55 [DoS_BLOCK] request_id:7f0cd78866e09857ffa630966eb5c590 | IP:172.23.0.11 | Path:/xvwa/ | Rate limit exceeded
2026/07/15 11:39:55 [DoS_BLOCK] request_id:a74abdb119cbf11889e7501d044a1666 | IP:172.23.0.11 | Path:/xvwa/ | Rate limit exceeded
2026/07/15 11:39:55 [DoS_BLOCK] request_id:379f21afa22d5876a237075e2911bdc0 | IP:172.23.0.11 | Path:/xvwa/ | Rate limit exceeded
2026/07/15 11:39:55 [DoS_BLOCK] request_id:d2e1832ec8112577ad2d6a7b5f305b70 | IP:172.23.0.11 | Path:/xvwa/ | Rate limit exceeded
2026/07/15 11:39:55 [DoS_BLOCK] request_id:5392ed2793e9977a04b6b5147b64d7b3 | IP:172.23.0.11 | Path:/xvwa/ | Rate limit exceeded
2026/07/15 11:39:55 [DoS_BLOCK] request_id:996bd12b3dc62a7296f4676b1af7b993 | IP:172.23.0.11 | Path:/xvwa/ | Rate limit exceeded
2026/07/15 11:39:55 [DoS_BLOCK] request_id:022e0c9e31fe572b4bc35039b9fa23a1 | IP:172.23.0.11 | Path:/xvwa/ | Rate limit exceeded
2026/07/15 11:39:55 [DoS_BLOCK] request_id:f1491d2c087760debd11c206d9769942 | IP:172.23.0.11 | Path:/xvwa/ | Rate limit exceeded
2026/07/15 11:39:55 [DoS_BLOCK] request_id:25d088b1ebe6ada9d653df3f6a2ba158 | IP:172.23.0.11 | Path:/xvwa/ | Rate limit exceeded
2026/07/15 11:39:55 [DoS_BLOCK] request_id:c4c67f30afe33e6a22baaee0112bb669 | IP:172.23.0.11 | Path:/xvwa/ | Rate limit exceeded
2026/07/15 11:39:55 [DoS_BLOCK] request_id:b56f4da5fe71b5b6782b4d5f6fb07970 | IP:172.23.0.11 | Path:/xvwa/ | Rate limit exceeded
2026/07/15 11:39:55 [DoS_BLOCK] request_id:781425128dd88197351972bdcc36f7f0 | IP:172.23.0.11 | Path:/xvwa/ | Rate limit exceeded
2026/07/15 11:39:55 [DoS_BLOCK] request_id:0245d4611c5b03c0d72388931587d0f9 | IP:172.23.0.11 | Path:/xvwa/ | Rate limit exceeded
2026/07/15 11:39:55 [DoS_BLOCK] request_id:40219284468be3166c23e04695f23c3c | IP:172.23.0.11 | Path:/xvwa/ | Rate limit exceeded
2026/07/15 11:39:55 [DoS_BLOCK] request_id:160234d484c23f11c7356101cd70157f | IP:172.23.0.11 | Path:/xvwa/ | Rate limit exceeded
2026/07/15 11:39:55 [DoS_BLOCK] request_id:fc9a74e2d1f3c16c0a5d25452f9b4c72 | IP:172.23.0.11 | Path:/xvwa/ | Rate limit exceeded
2026/07/15 11:39:55 [DoS_BLOCK] request_id:b4343e755bce87f10a27234ed26767cc | IP:172.23.0.11 | Path:/xvwa/ | Rate limit exceeded
2026/07/15 11:39:55 [DoS_BLOCK] request_id:4b15649110430eed49b8424f9d6c557f | IP:172.23.0.11 | Path:/xvwa/ | Rate limit exceeded
2026/07/15 11:39:55 [DoS_BLOCK] request_id:6c822a29970c3fc3b10642c80c0821b6 | IP:172.23.0.11 | Path:/xvwa/ | Rate limit exceeded
